"ACTOR1","ACTOR2","COUNTRY","EVENT_DATE","EVENT_ID_CNTY","EVENT_TYPE","ISO","LOCATION","NOTES","SUB_EVENT_TYPE","YEAR","annotation_id","annotator","created_at","id","lead_time","max_partviolence","max_secengagement","mmad_issue","mmad_max_scope","mmad_mean_avg_numparticipants","mmad_side","mmd_participants","mmd_participants_category","mmd_protesterdemand_1","mmd_protesterdemand_2","mmd_protesteridentity","mmd_protesterviolence","mmd_protestnumber","mmd_stateresponse_1","mmd_stateresponse_2","navco_camp_goals","navco_damage","navco_fatal_casu","navco_injuries","navco_num_partic_event","navco_nv_categ","navco_nv_commission","navco_nv_concentration","navco_nv_tactic_ns","navco_st_posture","navco_tactic_choice","navco_v_tactic_ns","scad_cgovtarget","scad_escalation","scad_etype","scad_gender_tags","scad_issues_1","scad_issues_2","scad_ndeath","scad_npart","scad_repress","scad_rgovtarget","updated_at"
"Protesters (Pakistan)","","Pakistan","2020-08-27","PAK60620","Protests",586,"Badin","On 27 August 2020, journalists and media workers protested in Badin city (Badin, Sindh), against the arrest of Jang/Geo Group Editor-in-Chief and demanded his release. He was arrested in connection with an accountability case, however his arrest is believed to be an attack on media freedom.","Peaceful protest",2020,182,"1","2025-07-28T07:13:31.973207Z",1124,56.654,"NA","NA","against:illegal arrest","national","","anti-gov","","","political_behavior_process","","Journalists and media workers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","non_lethal","no","2025-07-28T07:13:31.973233Z"
"Protesters (Pakistan)","","Pakistan","2020-08-24","PAK60527","Protests",586,"Peshawar","On 24 August 2020, journalists and media workers protested at Khyber super market in Peshawar city (Peshawar, KPK), against the arrest of Jang/Geo Group Editor-in-Chief and demanded his release. He was arrested in connection with an accountability case, however his arrest is believed to be an attack on media freedom.","Peaceful protest",2020,183,"1","2025-07-28T07:14:53.795302Z",1125,79.397,"NA","NA","against:illegal arrest","national","","anti-gov","","","political_behavior_process","","Journalists and media workers","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-28T07:14:53.795327Z"
"Protesters (Pakistan)","","Pakistan","2020-08-23","PAK60493","Protests",586,"Peshawar","On 23 August 2020, journalists and media workers protested in Peshawar city (Peshawar, KPK), against the arrest of Jang/Geo Group Editor-in-Chief and demanded his release. He was arrested in connection with an accountability case, however his arrest is believed to be an attack on media freedom.","Peaceful protest",2020,184,"1","2025-07-28T07:16:11.149437Z",1126,75.79,"NA","NA","against:illegal arrest","national","","anti-gov","","","political_behavior_process","","Journalists and media workers","no","","ignore","","policy_change","","","","","","","","","neutral","","","yes","no_escalation","org_demo (clear leadership/organization)","","human_rights_democracy","","","unknown","none","no","2025-07-28T07:16:11.149462Z"
"Rioters (United States)","Rioters (United States)","United States","2020-08-21","USA10445","Riots",840,"Brandon","On 21 August 2020, demonstrators gathered at the old courthouse in Brandon (Mississippi) to call for the movement of a confederate statue to the Brandon cemetery. They were met by counter demonstrators who instigated a short fight, which was quickly broken up by police.","Violent demonstration",2020,185,"1","2025-07-28T07:19:02.946926Z",1127,168.891,"property_damage_or_clashes","NA","for:removal of statue","regional","","anti-gov","","","political_behavior_process","","","no","","crowd_dispersal","","policy_change","","","","","","","","","nonmaterial_non-physical_repression","violent","clash","no","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","non_lethal","yes","2025-07-28T07:19:02.946950Z"
"Protesters (Palestine)","Military Forces of Israel (2009-2021)","Palestine","2018-09-24","PSE27610","Protests",275,"Rafah","On 24 September 2018, Palestinians held a demonstration east of Rafah (Rafah) as part of the March of Return movement. Israeli forces fired live ammunition, rubber-coated steel bullets, and stun and tear gas canisters towards the demonstrators.","Excessive force against protesters",2018,186,"1","2025-07-28T07:21:13.708152Z",1128,117.86,"property_damage_or_clashes","physical_intervention","for:march of return movement","national","","anti-gov","","","land_farm_issue","","palestinians","no","","shootings","crowd_dispersal","institutional_reform","","","","","protest","commission","concentration","demonstration","material_physical_repression","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","ethnic_discrimination","","","unknown","non_lethal","no","2025-07-28T07:21:13.708183Z"
"Protesters (Nepal)","","Nepal","2018-09-14","NEP4434","Protests",524,"Karkigaun","On 14 September 2018, in Karkigaun (Jajarkot, Bheri), locals staged a protest at at Thalaha bazaar over alleged negligence of Jayalaxmi Medico health workers which caused the demise of one of the locals in the area.","Peaceful protest",2018,187,"1","2025-07-28T07:23:25.135381Z",1129,127.675,"NA","NA","againts:healthcare negligene","national","","anti-gov","","","political_behavior_process","","local citizens","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T07:23:25.135406Z"
"Protesters (Turkey)","Police Forces of Turkey (2016-)","Turkey","2018-09-03","TUR6514","Protests",792,"Cankaya","On 3 September 2018, a group of former health workers who were dismissed by legislative decrees, attempted to stage a protest in front of Health directorate of Cankaya in Ankara city. Police forces intervened and detained three people.","Protest with intervention",2018,188,"1","2025-07-28T07:25:27.258461Z",1130,119.766,"NA","physical_intervention","against:firing of workers","national","","anti-gov","a group","","labor_wage_dispute","","healthcare workers","no","","arrests","","policy_change","","","","","protest","commission","concentration","protest","material_physical_repression","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","non_lethal","no","2025-07-28T07:25:27.258487Z"
"Protesters (China)","","China","2018-09-01","CHN7038","Protests",156,"Chongqing","Around 1 September 2018 (as reported), as many as 100 student workers protested in Chongqing to demand for wage arrears owed by an after school child care service provider (Chongqing Xilantu).","Peaceful protest",2018,189,"1","2025-07-28T07:27:18.341097Z",1131,108.802,"NA","NA","for:wages","NA (only non-gov)","100","non-gov target","as many as 100","50-99","political_behavior_process","","student workers","no","[{""number"":100}]","ignore","","policy_change","","","","100","protest","commission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","10_to_100","none","no","2025-07-28T07:27:18.341120Z"
"Rioters (Bahrain)","Police Forces of Bahrain (1999-)","Bahrain","2018-08-26","BHR885","Riots",48,"Al Maamir","On 26 August 2018, rioters in Maamir who are part of the February 14 agitation threw Molotov cocktails at security forces in solidarty with political prisoners.","Violent demonstration",2018,190,"1","2025-07-28T07:29:23.148048Z",1132,121.552,"property_damage_or_clashes","NA","for:solidarity with political prisoners","national","","anti-gov","","","police_brutality","","rioters","yes","","","","policy_change","","","","","","","","","","violent","molotov cocktails","yes","no_escalation","anti_gov_violence","","other","","","unknown","non_lethal","no","2025-07-28T07:29:23.148095Z"
"Protesters (Lebanon)","","Lebanon","2019-11-07","LBN2238","Protests",422,"Balamand","On 7 November 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. A demonstration was held in at the Balamand University in Koura.","Peaceful protest",2019,191,"1","2025-07-28T07:31:54.883237Z",1133,148.381,"NA","NA","from:government reform","national","","anti-gov","","","political_behavior_process","","lebanese students","no","","ignore","","institutional_reform","","","","","protest","omission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","elections","","","unknown","none","no","2025-07-28T07:31:54.883272Z"
"Protesters (Lebanon)","","Lebanon","2019-11-05","LBN2196","Protests",422,"Rahbe","On 5 November 2019, Lebanese citizens continued to demonstrate for a 20th day for a government reform. Demonstrators blocked a road in Rahbe.","Peaceful protest",2019,192,"1","2025-07-28T07:33:48.541852Z",1134,98.125,"NA","NA","for:government reform","national","","anti-gov","","","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","","protest","commission","concentration","roadblock","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T07:33:48.541879Z"
"Protesters (Lebanon)","","Lebanon","2019-10-31","LBN2016","Protests",422,"Tripoli","On 31 October 2019, Lebanese citizens continued to demonstrate across Lebanon for a 15th day even after PM Al Hariri announced his resignation. Thousands held a demonstration in Tripoli City's al Nour square.","Peaceful protest",2019,193,"1","2025-07-28T07:36:44.806706Z",1135,171.424,"NA","NA","for:government reform","national","thousands","anti-gov","thousands","2000-4999","price_tax_policy","","lebanese citizens","no","","accommodation","","institutional_reform","","","","thousands","protest","commission","dispersion","protest","material_concessions","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","1001_to_10000","none","no","2025-07-28T07:36:44.806730Z"
"Rioters (Lebanon)","Rioters (Lebanon)","Lebanon","2019-10-30","LBN1988","Riots",422,"Jiyeh","On 30 October 2019, Lebanese citizens continued to demonstrate across Lebanon for a 14th day even after PM Al Hariri announced his resignation. Demonstrators blocked the Jiyeh road after it had been opened, after cashes erupted between demonstrators and media teams.","Violent demonstration",2019,194,"1","2025-07-28T07:38:00.619278Z",1136,73.629,"property_damage_or_clashes","NA","for:government reform","national","","anti-gov","","","political_behavior_process","","lebanese citizens","no","","accommodation","","institutional_reform","","","","","","","","","material_concessions","violent","clash","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T07:38:00.619301Z"
"Protesters (Lebanon)","","Lebanon","2019-10-26","LBN1823","Protests",422,"Beirut - Achrafieh","On 26 October 2019, Lebanese citizens continued to demonstrate across Lebanon for a tenth day and demanded the government to resign. Demonstrators blocked Achrafiye's Sassine Square in Beirut.","Peaceful protest",2019,195,"1","2025-07-28T07:39:53.342999Z",1137,93.1,"NA","NA","for:government reform","national","","anti-gov","","","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T07:39:53.343023Z"
"Protesters (Lebanon)","","Lebanon","2019-10-25","LBN6046","Protests",422,"Bchamoun","On 25 October 2019, Lebanese citizens continued to demonstrate in across Lebanon for an ninth day and demanded the government to resign. Demonstrators blocked the Tiro junction, near Bchamoun.","Peaceful protest",2019,196,"1","2025-07-28T07:41:32.180182Z",1138,89.586,"NA","NA","for:government reform","national","","anti-gov","","","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","","protest","commission","dispersion","roadblock","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T07:41:32.180207Z"
"Protesters (Lebanon)","","Lebanon","2019-10-23","LBN1688","Protests",422,"Beddawi","On 23 October 2019, thousands of Lebanese citizens took to the streets for a seventh day of protest across Lebanon. Demonstrators are demanding the 30 member Cabinet to resign and to replace it by one where members are technocrats rather than Political figures. Demonstrators blocked a road in the town of Beddawi in Tripoli.","Peaceful protest",2019,197,"1","2025-07-28T07:43:51.106236Z",1139,137.465,"NA","NA","for:government reform","national","thousands","anti-gov","thousands","2000-4999","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","","protest","commission","dispersion","roadblock","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","1001_to_10000","none","no","2025-07-28T07:43:51.106271Z"
"Protesters (Lebanon)","","Lebanon","2019-10-22","LBN1622","Protests",422,"Beirut - Mousseitbeh","On 22 October 2019, thousands of Lebanese citizens took to the streets for a sixth day. Demonstrators said they will continue to protest, despite the adapted economic reforms. Demonstrators are demanding the 30 member Cabinet to resign and to replace it by one where members are technocrats rather than Political figures. In Beirut, a dozen Lebanese actors stormed the Tele Liban building to demonstrate against their lack of coverage of the ongoing protests.","Peaceful protest",2019,198,"1","2025-07-28T07:46:16.573550Z",1140,142.83,"property_damage_or_clashes","NA","for:government reform","national","thousands","anti-gov","thousands","2000-4999","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","thousands","protest","commission","dispersion","{""text"":[""storm building"",""protest""]}","material_concessions","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","1001_to_10000","none","no","2025-07-28T07:46:16.573588Z"
"Protesters (Lebanon)","","Lebanon","2019-10-21","LBN10223","Protests",422,"En Nabi Osmane","On 21 October 2019, Lebanese citizens took to the streets for the fifth day of protest. Demonstrators stood on a road in En Nabi Osmane (Hermel) town to block it. They are demanding the 30 member Cabinet to resign and to replace it with one where members are technocrats rather than political figures.","Peaceful protest",2019,199,"1","2025-07-28T07:47:55.897903Z",1141,71.89,"NA","NA","for:government reform","national","thousands","anti-gov","","","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","","protest","commission","dispersion","roadblock","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T07:47:55.897982Z"
"Protesters (Lebanon)","","Lebanon","2019-10-21","LBN1591","Protests",422,"Sidon","On 21 October 2019, Lebanese citizens took to the streets for a fifth day of protest. Demonstrators blocked a road in Aaqibeh near Sidon. They are demanding the 30 member Cabinet to resign and to replace it by one where members are technocrats rather than Political figures.","Peaceful protest",2019,200,"1","2025-07-28T07:49:23.223385Z",1142,72.169,"NA","NA","for:government reform","national","","anti-gov","","","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T07:49:23.223411Z"
"Protesters (Lebanon)","","Lebanon","2019-10-20","LBN7022","Protests",422,"Zouq Mosbeh","On 20 October 2019, hundreds of thousands of Lebanese citizens took to the streets for a fourth day of protest across Lebanon. Demonstrators are demanding the 30 member Cabinet to resign and to replace it by one where members are technocrats rather than political figures. Protesters blocked a road in Zouk Mikael, near Zouq Mosbeh.","Peaceful protest",2019,201,"1","2025-07-28T07:51:42.958380Z",1143,137.605,"NA","NA","for:government reform","national","hundreds of thousands","anti-gov","hundreds of thousands","5000-10000","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","hundreds of thousands","protest","commission","dispersion","{""text"":[""protest"",""roadblock""]}","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","100001_to_1000000","none","no","2025-07-28T07:51:42.958402Z"
"Protesters (Lebanon)","","Lebanon","2019-10-20","LBN1548","Protests",422,"Jdita","On 20 October 2019, hundreds of thousands of Lebanese citizens took to the streets for a fourth day of protest across Lebanon. Demonstrators are demanding the 30 member Cabinet to resign and to replace it by one where members are technocrats rather than Political figures. In central Bekaa, demonstrators blocked roads from Jdita.","Peaceful protest",2019,202,"1","2025-07-28T07:53:43.538929Z",1144,116.622,"NA","NA","for:government reform","national","hundreds of thousands","anti-gov","",">10000","political_behavior_process","","lebanese citizens","no","","ignore","","institutional_reform","","","","hundreds of thousands","protest","commission","dispersion","{""text"":[""protest"",""roadblock""]}","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","100001_to_1000000","none","no","2025-07-28T07:53:43.538952Z"
"Rioters (Palestine)","Military Forces of Israel (2009-2021)","Palestine","2019-10-18","PSE22635","Riots",275,"Kafr Qaddum","On 18 October 2019, Palestinians held a demonstration in Kafr Qaddum (Qalqilya) against the closure of the village entrance. Clashes erupted with Israeli military forces who fired rubber bullets and tear gas canisters. Palestinians allegedly hurled stones towards the Israeli soldiers. Several Palestinians suffered from tear gas inhalation.","Violent demonstration",2019,203,"1","2025-07-28T08:01:50.124117Z",1145,128.3,"property_damage_or_clashes","physical_intervention","against:village entrance closure","national","","anti-gov","","","political_behavior_process","","palestinians","yes","","shootings","","policy_change","","","","","","","","","material_physical_repression","violent","stone throwing","yes","no_escalation","extra_gov_violence","","ethnic_discrimination","","","unknown","non_lethal","no","2025-07-28T08:01:50.124148Z"
"Protesters (Ethiopia)","Police Forces of Ethiopia (1991-2018)","Ethiopia","2016-07-01","ETH3104","Protests",231,"Haramaya University","Students protested against the government agenda at Haramaya university. Police forces responded with violence, allegedly killing four and injuring five with bullet wounds.","Excessive force against protesters",2016,204,"1","2025-07-28T08:04:08.395959Z",1146,127.953,"NA","lethal_intervention","against:government agenda","national","","anti-gov","","","political_behavior_process","","students","no","","killings","shootings","policy_change","","[{""number"":4}]","[{""number"":5}]","","protest","commission","concentration","protest","lethal_repression","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","lethal","no","2025-07-28T08:04:08.395985Z"
"Protesters (Bahrain)","","Bahrain","2016-06-11","BHR9602","Protests",48,"Al Maamir","On 11 June 2016, protesters took to the streets in Al Maamir area (Southern) against the Al Khalifah regime.","Peaceful protest",2016,205,"1","2025-07-28T08:05:41.958492Z",1147,89.861,"NA","NA","against:regime","national","","anti-gov","","","political_behavior_process","","","no","","ignore","","regime_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T08:05:41.958517Z"
"Rioters (Bahrain)","Police Forces of Bahrain (1999-)","Bahrain","2016-05-05","BHR2988","Riots",48,"Abu Saybi","On 5 May 2016, rioters in Abu Saybi threw Molotov cocktails at security forces.","Violent demonstration",2016,206,"1","2025-07-28T08:08:01.085900Z",1148,96.53,"property_damage_or_clashes","NA","","national","","anti-gov","","","","","rioters","yes","","","","unknown","","","","","","","","","","violent","molotov cocktails","yes","no_escalation","anti_gov_violence","","unknown","","","unknown","none","no","2025-07-28T08:08:01.085924Z"
"Protesters (Sudan)","","Sudan","2016-04-15","SUD9217","Protests",729,"Wad Medani","In late April, students protest the earlier deaths of two students on other campuses. Also protesting the selling of university land.","Peaceful protest",2016,207,"1","2025-07-28T08:09:41.339999Z",1149,98.195,"NA","NA","against:selling land","NA (only non-gov)","","non-gov target","","","land_farm_issue","","students","no","","ignore","","policy_change","","","","","protest","commission","concentration","protest","neutral","nonviolent","","no","no_escalation","org_demo (clear leadership/organization)","","other","","","unknown","none","no","2025-07-28T08:09:41.340024Z"
"Rioters (Bahrain)","Police Forces of Bahrain (1999-)","Bahrain","2016-02-22","BHR2437","Riots",48,"Al Akr","On 22 February 2016, demonstrating rioters threw Molotov cocktails at security forces in Akr, who responded by firing tear gas.","Violent demonstration",2016,208,"1","2025-07-28T08:10:47.918378Z",1150,64.284,"property_damage_or_clashes","physical_intervention","","national","","anti-gov","","","political_behavior_process","","rioters","yes","","crowd_dispersal","","unknown","","","","","","","","","material_physical_repression","violent","","yes","no_escalation","anti_gov_violence","","unknown","","","unknown","non_lethal","no","2025-07-28T08:10:47.918405Z"
"Protesters (Turkey)","Police Forces of Turkey (2016-)","Turkey","2018-06-02","TUR1805","Protests",792,"Mesrutiyet","A group of former public servants who were dismissed from duties with recent legislative decrees gathered in the Mesrutiyet neighborhood of Ankara province's Cankaya district on Saturday, 2 June 2018. Police forces intervened and detained 5 protesters.","Protest with intervention",2018,209,"1","2025-07-28T08:13:16.097115Z",1151,128.611,"NA","physical_intervention","against:firing of workers","national","a group","anti-gov","a group","","labor_wage_dispute","","former public servants","no","","arrests","","policy_change","","","","","protest","commission","concentration","protest","material_physical_repression","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economy_jobs","","","unknown","non_lethal","no","2025-07-28T08:13:16.097145Z"
"Protesters (Brazil)","","Brazil","2018-05-28","BRA30321","Protests",76,"Ituiutaba","On 28 May 2018, in Ituiutaba, Minas Gerais, truck drivers held protests on different stretches of the BR-365 highway, for the eighth consecutive day, against the rising prices of diesel. Truck drivers were protesting on roads across the country since 21 May 2018.","Peaceful protest",2018,210,"1","2025-07-28T08:15:12.636637Z",1152,109.811,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:15:12.636661Z"
"Protesters (Brazil)","","Brazil","2018-05-27","BRA31642","Protests",76,"Itarare","On 27 May 2018, in Itarare, Sao Paulo, nearly 40 truck drivers protested on km 338 of the SP-258 highway against the rising prices of diesel. This was the seventh day of protests in the region and truck drivers were protesting on roads across the country since 21 May 2018.","Peaceful protest",2018,211,"1","2025-07-28T08:16:30.469328Z",1153,76.72,"NA","NA","against:gas prices","national","nearly 40","anti-gov","nearly 40","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","10_to_100","none","no","2025-07-28T08:16:30.469354Z"
"Protesters (Brazil)","","Brazil","2018-05-27","BRA31644","Protests",76,"Palmeira dos Indios","On 27 May 2018, in Palmeira dos Indios, Alagoas, despite the agreement with the Federal Government and the suspension of the strike for 15 days, truck drivers partially blocked BR-316 highway against the rising prices of diesel. Truck drivers were protesting on roads across the country since 21 May 2018 and in some cases it resulted in federal highway blocks.","Peaceful protest",2018,212,"1","2025-07-28T08:19:08.004866Z",1154,70.758,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","","","","","neutral","","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:19:08.006155Z"
"Protesters (Brazil)","","Brazil","2018-05-26","BRA31201","Protests",76,"Santa Cruz","On 26 May 2018, in Santa Cruz, Rio Grande do Norte, despite the agreement with the Federal Government and the suspension of the strike for 15 days, truck drivers held a protest and partially blocked km 107 and 109 of BR-226 highway against the rising prices of diesel. It was the sixth day of protests, which the sector was protesting on roads across the country and in some cases it resulted in federal highway blocks.","Peaceful protest",2018,213,"1","2025-07-28T08:19:59.549845Z",1155,48.397,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:19:59.549867Z"
"Protesters (Brazil)","","Brazil","2018-05-25","BRA31143","Protests",76,"Sao Pedro da Uniao","On 25 May 2018, in Sao Pedro da Uniao, Minas Gerais, despite the agreement with the Federal Government and the suspension of the strike for 15 days, truck drivers protested on BR-146 highway against the raising prices of diesel. The sector was protesting on roads across the country since 21 May 2018 and in some cases it resulted in federal highway blocks.","Peaceful protest",2018,214,"1","2025-07-28T08:20:45.838670Z",1156,45.467,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:20:45.838692Z"
"Protesters (Brazil)","","Brazil","2018-05-24","BRA31348","Protests",76,"Batayapora","On 24 May 2018, around Batayapora, Mato Grosso do Sul, truck drivers protested on km 01 of MS-134 highway. For the fourth consecutive day, the group held protests throughout Brazil, blocking highways as a means of protest against the rising prices of fuel.","Peaceful protest",2018,215,"1","2025-07-28T08:21:55.553029Z",1157,67.598,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:21:55.553053Z"
"Protesters (Brazil)","","Brazil","2018-05-24","BRA31084","Protests",76,"Venancio Aires","On 24 May 2018, in Venancio Aires, Rio Grande do Sul, truck drivers protested on km 81 and km 19 of ERSC-287 highway. For the fourth consecutive day, the group held protests throughout Brazil, blocking highways as a means of protest against the rising prices of fuel.","Peaceful protest",2018,216,"1","2025-07-28T08:23:34.863152Z",1158,87.025,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","protest","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:23:34.863174Z"
"Protesters (Brazil)","","Brazil","2018-05-24","BRA28192","Protests",76,"Nova Lima","On 24 May 2018, in Nova Lima, Minas Gerais, truck drivers protested on km 550 of BR-040. For the fourth consecutive day, the group held protests throughout Brazil, blocking highways as a means of protest against the rising prices of fuel.","Peaceful protest",2018,217,"1","2025-07-28T08:24:54.897887Z",1159,78.882,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","concentration","{""text"":[""protest"",""roadblock""]}","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:24:54.897907Z"
"Protesters (Brazil)","","Brazil","2018-05-24","BRA32072","Protests",76,"Venturosa","On 24 May 2018, in Venturosa, Pernambuco, truck drivers protested on a road. For the fourth consecutive day, the group held protests throughout Brazil, blocking highways as a means of protest against the rising prices of fuel.","Peaceful protest",2018,218,"1","2025-07-28T08:26:13.380847Z",1160,64.569,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","{""text"":[""protest"",""roadblock""]}","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","economic_resources","","unknown","none","no","2025-07-28T08:26:13.380871Z"
"Protesters (Brazil)","","Brazil","2018-05-24","BRA29446","Protests",76,"Pindamonhangaba","On 24 May 2018, in Pindamonhangaba, Sao Paulo, truck drivers protested on km 92 and 101 of SP-099. For the fourth consecutive day, the group held protests throughout Brazil, blocking highways as a means of protest against the rising prices of fuel.","Peaceful protest",2018,219,"1","2025-07-28T08:27:09.444282Z",1161,53.327,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","{""text"":[""protest"",""roadblock""]}","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:27:09.444304Z"
"Protesters (Brazil)","","Brazil","2018-05-24","BRA30962","Protests",76,"Alvorada","On 24 May 2018, in Alvorada, Tocantins, truck drivers protested and partially blocked km 761 of BR-153 highway for cargo vehicles. For the fourth consecutive day, the group held protests throughout Brazil, blocking highways as a means of protest against the rising prices of fuel.","Peaceful protest",2018,220,"1","2025-07-28T08:27:58.139697Z",1162,47.314,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","{""text"":[""protest"",""roadblock""]}","neutral","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:27:58.139734Z"
"Protesters (Brazil)","","Brazil","2018-05-24","BRA29427","Protests",76,"Catalao","On 24 May 2018, in Catalao, Goias, truck drivers protested on km 270, 273, 279 and 283 of BR-050. For the fourth consecutive day, the group held protests throughout Brazil, blocking highways as a means of protest against the rising prices of fuel.","Peaceful protest",2018,221,"1","2025-07-28T08:28:57.225153Z",1163,56.302,"NA","NA","against:gas prices","national","","anti-gov","","","price_tax_policy","","truckers","no","","ignore","","policy_change","","","","","protest","commission","dispersion","{""text"":[""protest"",""roadblock""]}","","nonviolent","","yes","no_escalation","org_demo (clear leadership/organization)","","economic_resources","","","unknown","none","no","2025-07-28T08:28:57.225177Z"
